1: 4.92x
2: 8.27x
3: 10.67x
4: 12.87x
5: 14.49x
6: 16.01x
7: 18.20x
8: 19.70x
9: 21.90x
10: 23.99x
11: 25.83x
12: 27.59x
13: 32.37x
14: 32.87x
15: 33.49x
16: 26.82x
17: 27.96x
18: 39.42x
19: 34.25x
20: 36.61x
21: 31.31x
22: 33.95x
23: 35.88x
24: 35.82x
25: 39.81x
26: 43.90x
27: 43.61x
28: 38.61x
29: 45.89x
30: 44.31x
31: 47.98x
32: 30.35x
33: 39.14x
34: 37.29x
35: 47.90x
36: 52.88x
37: 47.58x
38: 50.70x
39: 53.25x
40: 50.12x
41: 55.77x
42: 44.93x
43: 54.77x
44: 53.65x
45: 53.71x
46: 57.12x
47: 41.00x
48: 50.55x
49: 54.91x
50: 52.85x
51: 51.42x
52: 60.47x
53: 47.53x
54: 61.09x
55: 62.48x
56: 62.29x
57: 46.50x
58: 42.93x
59: 47.85x
60: 59.23x
61: 63.32x
62: 61.50x
63: 46.91x
64: 39.40x
