1: 1.00x
2: 1.92x
3: 2.90x
4: 3.76x
5: 4.73x
6: 5.61x
7: 6.63x
8: 7.56x
9: 8.33x
10: 9.08x
11: 9.80x
12: 11.03x
13: 11.48x
14: 11.52x
15: 12.34x
16: 13.25x
17: 13.98x
18: 14.65x
19: 15.74x
20: 16.08x
21: 16.86x
22: 17.48x
23: 17.96x
24: 19.19x
25: 11.58x
26: 11.96x
27: 12.96x
28: 12.87x
29: 12.96x
30: 13.23x
31: 13.56x
32: 14.15x
