1: 1.00x
2: 1.91x
3: 2.91x
4: 3.90x
5: 4.70x
6: 5.54x
7: 6.54x
8: 7.40x
9: 8.29x
10: 9.19x
11: 9.95x
12: 10.93x
13: 11.75x
14: 11.56x
15: 12.40x
16: 13.35x
17: 14.10x
18: 14.49x
19: 15.78x
20: 16.07x
21: 17.18x
22: 17.73x
23: 18.36x
24: 19.51x
25: 11.52x
26: 11.91x
27: 12.57x
28: 13.09x
29: 13.62x
30: 13.82x
31: 13.79x
32: 14.14x
